"","V1","ID_","AgeMos","lnmediatimespent","sqrtmediatimespent"
"7","7",3,9.49486637115479,5.88887786865234,18.9736652374268
"67","67",21,24.7720737457275,5.35185813903809,14.4913768768311
"113","113",38,5.71663236618042,5.60211896896362,16.431676864624
"114","114",40,6.04517459869385,5.35185813903809,14.4913768768311
"145","145",49,6.27515411376953,2.7725887298584,3.87298345565796
"201","201",66,6.6036958694458,5.19849681854248,13.416407585144
"214","214",70,11.0390148162842,4.79579067230225,10.9544515609741
"241","241",79,6.34086227416992,5.70711040496826,17.3205089569092
"280","280",94,7.55646800994873,5.88887786865234,18.9736652374268
"289","289",98,5.38809013366699,4.79579067230225,10.9544515609741
"348","348",113,6.76796722412109,5.19849681854248,13.416407585144
"412","412",134,6.11088275909424,4.51085948944092,9.48683261871338
"446","446",147,5.9466118812561,5.19849681854248,13.416407585144
"453","453",150,6.07802867889404,5.01727962493896,12.2474489212036
"461","461",153,40.4763870239258,4.11087369918823,7.74596691131592
"476","476",161,25.7576999664307,4.79579067230225,10.9544515609741
"480","480",163,6.80082130432129,4.79579067230225,10.9544515609741
"487","487",166,8.54209423065186,5.48479700088501,15.4919338226318
"508","508",175,58.8418884277344,5.70711040496826,17.3205089569092
"509","509",177,7.09650945663452,6.7580943107605,29.325756072998
"525","525",183,6.24229955673218,3.71357202529907,6.32455539703369
"538","538",187,8.64065742492676,5.19849681854248,13.416407585144
"584","584",203,6.80082130432129,4.11087369918823,7.74596691131592
"646","646",225,8.34496879577637,3.43398714065552,5.47722578048706
"711","711",246,6.04517459869385,4.11087369918823,7.74596691131592
"778","778",272,10.1519508361816,5.19849681854248,13.416407585144
"808","808",285,14.6201229095459,3.82864141464233,6.70820379257202
"809","809",287,28.94455909729,5.17048406600952,13.2287569046021
"840","840",296,16.6570835113525,3.43398714065552,5.47722578048706
"896","896",315,14.35728931427,4.39444923400879,8.9442720413208
"954","954",335,18.1355228424072,4.11087369918823,7.74596691131592
"966","966",339,13.0759754180908,3.43398714065552,5.47722578048706
"969","969",341,7.81930208206177,5.8021183013916,18.165901184082
"1037","1037",367,13.9630393981934,5.62040090560913,16.5831241607666
"1040","1040",370,6.76796722412109,4.61512041091919,10
"1043","1043",373,23.556468963623,4.11087369918823,7.74596691131592
"1113","1113",393,8.21355247497559,4.11087369918823,7.74596691131592
"1114","1114",394,8.90349102020264,3.43398714065552,5.47722578048706
"1151","1151",409,6.83367538452148,4.61512041091919,10
"1156","1156",411,15.5071868896484,4.79579067230225,10.9544515609741
"1157","1157",412,9.62628364562988,5.01727962493896,12.2474489212036
"1179","1179",421,6.30800819396973,4.79579067230225,10.9544515609741
"1182","1182",423,15.0472278594971,4.79579067230225,10.9544515609741
"1183","1183",424,8.44353199005127,3.04452252388,4.4721360206604
"1188","1188",427,6.76796722412109,3.58351898193359,5.91607999801636
"1213","1213",435,6.17659139633179,4.39444923400879,8.9442720413208
"1218","1218",437,6.57084178924561,5.01727962493896,12.2474489212036
"1219","1219",438,6.47227907180786,5.01727962493896,12.2474489212036
"1233","1233",445,6.43942499160767,5.35185813903809,14.4913768768311
"1244","1244",449,5.51950740814209,4.11087369918823,7.74596691131592
"1250","1250",454,6.20944547653198,3.82864141464233,6.70820379257202
"1251","1251",456,6.01232051849365,0,0
"1276","1276",465,7.49075984954834,5.70711040496826,17.3205089569092
"1304","1304",476,60.4188919067383,4.11087369918823,7.74596691131592
"1305","1305",477,5.9466118812561,4.11087369918823,7.74596691131592
"1316","1316",485,24.9034900665283,4.94876003265381,11.8321599960327
"1336","1336",494,6.20944547653198,5.48479700088501,15.4919338226318
"1343","1343",499,5.9794659614563,6.17586708068848,21.9089031219482
"1344","1344",500,46.4229965209961,4.79579067230225,10.9544515609741
"1345","1345",501,5.45379877090454,4.79579067230225,10.9544515609741
"1348","1348",503,5.9794659614563,4.11087369918823,7.74596691131592
"1349","1349",504,6.43942499160767,5.63835477828979,16.7332000732422
"1350","1350",507,6.50513362884521,5.19849681854248,13.416407585144
"1360","1360",511,68.7638626098633,5.48479700088501,15.4919338226318
"1361","1361",512,8.96919918060303,3.43398714065552,5.47722578048706
"1362","1362",513,6.24229955673218,3.04452252388,4.4721360206604
"1384","1384",528,7.78644752502441,4.79579067230225,10.9544515609741
"1388","1388",535,7.03080081939697,4.11087369918823,7.74596691131592
"1392","1392",537,6.7351131439209,4.11087369918823,7.74596691131592
"1400","1400",541,37.223819732666,3.82864141464233,6.70820379257202
"1403","1403",545,6.89938402175903,3.82864141464233,6.70820379257202
"1404","1404",546,6.27515411376953,3.82864141464233,6.70820379257202
"1408","1408",549,6.04517459869385,4.18965482711792,8.06225776672363
"1417","1417",554,47.9342918395996,5.01727962493896,12.2474489212036
"1423","1423",558,6.43942499160767,4.30406522750854,8.5440034866333
"1441","1441",569,7.16221761703491,4.70953035354614,10.4880886077881
"1446","1446",571,6.17659139633179,4.79579067230225,10.9544515609741
"1456","1456",575,25.6262836456299,4.11087369918823,7.74596691131592
"1461","1461",579,28.2874736785889,5.48479700088501,15.4919338226318
"1491","1491",598,36.5338821411133,5.19849681854248,13.416407585144
"1495","1495",601,6.11088275909424,4.61512041091919,10
"1504","1504",606,6.14373731613159,3.43398714065552,5.47722578048706
"1532","1532",621,22.5708427429199,2.7725887298584,3.87298345565796
"1536","1536",626,36.7967147827148,5.88887786865234,18.9736652374268
"1539","1539",628,16.9856262207031,4.79579067230225,10.9544515609741
"1544","1544",634,37.0266952514648,4.02535152435303,7.41619825363159
"1560","1560",640,38.3080101013184,5.35185813903809,14.4913768768311
"1572","1572",648,18.2997951507568,4.75359010696411,10.7238054275513
"1597","1597",658,25.7248458862305,5.11198759078979,12.845232963562
"1600","1600",90007,31.4743328094482,5.70711040496826,17.3205089569092
"1601","1601",90008,60.2546195983887,5.35185813903809,14.4913768768311
"1606","1606",90036,6.01232051849365,5.19849681854248,13.416407585144
"1607","1607",90056,27.0390148162842,5.19849681854248,13.416407585144
"1626","1626",90154,7.52361392974854,4.51085948944092,9.48683261871338
"1627","1627",90155,6.17659139633179,3.04452252388,4.4721360206604
"1628","1628",90176,7.3593430519104,5.01727962493896,12.2474489212036
"1629","1629",90251,6.34086227416992,4.79579067230225,10.9544515609741
"1630","1630",90259,35.121150970459,4.70953035354614,10.4880886077881
"1635","1635",90406,50.4312133789062,5.19849681854248,13.416407585144
"1636","1636",90425,23.6550312042236,3.43398714065552,5.47722578048706
